Geneid	Sample1-1	Sample1-2	Sample1-5	Sample1-7	Sample1-9
RGna_RS09380	84.84234033545553	167.17644766766352	110.0530907084401	189.6442136000014	65.68123758608822
RGna_RS09385	49.02949315868033	217.9723683051459	132.307593815687	32.04034658995457	37.261471322876965
RGna_RS18305	68.21494700338134	150.1373097323055	117.3696396752062	81.39979944474945	33.4721691544488
RGna_RS09390	0.4263434187711333	0.6429863371833212	0.3048562069485875	1.731910626484031	1.2631007228093887
RGna_RS09395	1.2790302563134	0.6429863371833212	0.9145686208457626	0.8659553132420155	0.0
RGna_RS09400	1.2790302563134	1.2859726743666424	0.0	4.329776566210077	2.5262014456187774
RGna_RS09405	3.4107473501690664	1.9289590115499633	0.9145686208457626	1.731910626484031	0.6315503614046943
RGna_RS09410	0.8526868375422666	0.0	0.0	0.0	0.6315503614046943
RGna_RS09415	3.8370907689401994	2.8934385173249457	1.8291372416915253	1.731910626484031	3.1577518070234714
RGna_RS09420	8.526868375422668	5.14389069746657	2.7437058625372877	2.5978659397260464	4.42085252983286
RGna_RS09430	1.7053736750845332	3.5364248545082666	3.9631306903316377	3.463821252968062	1.2631007228093887
RGna_RS09435	2.9844039313979334	2.250452180141624	2.133993448640113	0.8659553132420155	3.1577518070234714
RGna_RS09440	11.937615725591733	12.216740406483103	7.316548966766101	15.58719563835628	15.157208673712663
RGna_RS09445	4.263434187711334	1.9289590115499633	1.21942482779435	0.8659553132420155	0.0
RGna_RS09450	1.2790302563134	0.6429863371833212	0.9145686208457626	0.0	0.0
RGna_RS09455	2.131717093855667	2.250452180141624	0.609712413897175	2.5978659397260464	0.0
RGna_RS09460	0.0	0.3214931685916606	0.0	0.8659553132420155	0.0
RGna_RS09465	20.4644841010144	38.900673399590936	28.656483453167226	21.648882831050386	73.25984192294455
RGna_RS09470	0.8526868375422666	0.6429863371833212	0.3048562069485875	2.5978659397260464	0.6315503614046943
RGna_RS09475	2.131717093855667	0.3214931685916606	0.3048562069485875	0.8659553132420155	3.1577518070234714
RGna_RS09480	0.0	0.0	0.0	0.0	1.2631007228093887
RGna_RS09485	2.9844039313979334	1.607465842958303	3.353418276434463	5.195731879452093	6.947053975451637
RGna_RS09490	1.7053736750845332	0.3214931685916606	0.609712413897175	2.5978659397260464	3.789302168428166
RGna_RS09495	5.1161210252536	8.358822383383176	14.633097933532202	14.721240325114263	27.156665540401853
RGna_RS09500	26.006948545039133	34.72126220789934	60.36152897582033	77.93597819178139	157.25603998976888
RGna_RS09505	12.363959144362866	14.788685755216386	24.99820896978418	17.319106264840308	47.99782746675677
RGna_RS09510	17.9064235883876	19.289590115499635	29.57105207401299	23.380793457534416	97.89030601772762
RGna_RS09515	50.73486683376486	67.19207223565706	90.54229346373049	74.47215693881333	179.36030263893318
RGna_RS09520	5.1161210252536	8.037329214791516	10.97482345014915	7.79359781917814	20.20961156495022
RGna_RS09525	13.642989400676266	23.790494475782886	32.009901729601694	16.453150951598293	94.10100384929946
RGna_RS09535	3.8370907689401994	6.108370203241551	6.706836552868926	3.463821252968062	8.210154698261027
RGna_RS09540	0.8526868375422666	0.3214931685916606	2.133993448640113	0.0	1.2631007228093887
RGna_RS09545	480.06268953629615	489.9555889336907	460.0280162854186	458.0903607050262	733.22996959085
RGna_RS09550	193.1335687033234	212.50698443908766	184.13314899694686	202.63354329863162	317.66983178656125
RGna_RS09555	0.0	0.9644795057749816	0.0	2.5978659397260464	0.6315503614046943
