Geneid	remap/Sample1-1.bam	remap/Sample1-2.bam	remap/Sample1-5.bam	remap/Sample1-7.bam	remap/Sample1-9.bam	remap/Sample2-10.bam	remap/Sample2-3.bam	remap/Sample2-4.bam	remap/Sample2-5.bam	remap/Sample2-8.bam
RGna_RS00150	4.37081249060474	3.7414322416794006	5.313557213582233	8.037692915577344	3.5405090963289534					
RGna_RS00155	385.4253211384393	179.3906941802848	220.04533664354506	269.76864821165765	90.15983903736092					
RGna_RS00160	222.29765632144287	76.69870433241269	103.07070054454495	145.20839408539135	16.388990509788076					
RGna_RS00165	168.17854357856413	134.65427067811606	122.40894123537586	101.49144998341897	128.34639536409756					
RGna_RS00170	77.03897774500413	77.39455951284788	82.40287777910235	50.448289938029646	60.09296520255628					
RGna_RS00175	124.55969010303357	137.64471585113654	147.27843256767235	93.30727047679616	116.16120457534218					
RGna_RS00180	25.252076065205216	15.477114518071065	12.592992051401835	16.97103653068108	12.357528249764046					
RGna_RS00185	8.502437513990015	4.5055022967874665	3.732565917370965	4.234623448810883	1.0658867269868566					
RGna_RS00190	5.175094728694904	2.2624136839566966	3.8946241014585006	2.577446461898781	1.557030610990604					
RGna_RS00195	18.651041402216432	3.0768826101811073	3.97251658348767	2.103196312909405	2.6469520386840273					
RGna_RS00200	40.625148695537106	15.508338127264958	24.337949701367496	14.908733357332492	6.031029961558543					
RGna_RS00205	2.9325536795937786	4.079200430164346	2.20695365749315	0.0	0.0					
RGna_RS00210	223.59338526865017	187.62122948874506	203.49778347488723	164.68423959573647	116.11629226302571					
RGna_RS00215	92.31831323812102	104.62127411241546	142.73544434176475	81.03223889564376	52.25152076363274					
RGna_RS00220	88.50750372636051	84.45753402946183	127.73695565869838	98.81396470134705	42.78478510803922					
RGna_RS00225	93.31196611455816	99.07381542459987	135.06556383858077	84.12785251637621	47.64513669631249					
RGna_RS00230	7.981383210440799	7.209190745503999	6.552604673794094	13.009461729336527	0.5457633069451603					
RGna_RS00235	0.0	3.8143172853484804	2.4075858081743458	0.0	0.0					
RGna_RS00240	66.9647209165492	64.36197516442387	62.99459954397923	55.13233053257664	45.229471728969784					
RGna_RS00245	139.89008131087016	112.11781111478865	113.81314729551451	95.02043948130647	91.44016133635729					
RGna_RS00250	19.60621602928412	28.770850380914247	28.375118453483356	24.036529290393208	34.03224049736606					
RGna_RS00255	33.38355702283513	34.2463838430477	25.982405762270705	30.126866103837425	32.19265992994087					
RGna_RS00260	36.404114643233115	26.364093420569574	34.70244371782332	21.757203236993842	21.905809975316085					
RGna_RS00265	33.561447666462136	33.41059399944132	36.29212681210958	28.2373579048022	28.675313752410293					
RGna_RS00270	41.88683960164717	46.54393642931303	45.03257665492096	44.27781711388221	38.257565903246864					
RGna_RS00275	22.974202919926388	34.34861887013294	33.756099465905585	38.14086577814984	46.08165207242659					
RGna_RS00280	338.60266144382797	413.4347808802109	724.7420498655554	746.3782037276059	1309.27286206127					
